Date,Temperature,Humidity,Precipitation
2023-08-01,32.5,65,0.0
2023-08-02,35.0,60,0.2
2023-08-03,30.2,70,0.1
2023-08-04,33.8,55,0.0
2023-08-05,29.4,75,0.3
2023-08-06,31.6,68,0.0
2023-08-07,36.1,50,0.1
2023-08-08,34.0,58,0.0
2023-08-09,28.9,80,0.4
2023-08-10,30.7,72,0.0
2023-08-11,32.8,65,0.2
2023-08-12,35.2,60,0.0
2023-08-13,29.5,78,0.3
2023-08-14,31.2,70,0.1
2023-08-15,30.0,74,0.0
2023-08-16,32.3,67,0.0
2023-08-17,34.7,58,0.1
2023-08-18,28.5,82,0.5
2023-08-19,30.9,69,0.2
2023-08-20,35.5,55,0.0
2023-08-21,33.1,62,0.0
2023-08-22,29.2,76,0.4
2023-08-23,31.8,68,0.1
2023-08-24,34.3,57,0.0
2023-08-25,28.7,81,0.3
2023-08-26,30.6,71,0.0
2023-08-27,32.4,64,0.0
2023-08-28,35.0,59,0.2
2023-08-29,29.8,77,0.0
2023-08-30,31.1,69,0.1
2023-08-31,30.5,73,0.0
2023-09-01,33.0,61,0.0
2023-09-02,36.2,50,0.1
2023-09-03,31.9,66,0.0
2023-09-04,29.3,79,0.3
2023-09-05,32.7,63,0.0
2023-09-06,34.8,57,0.0
2023-09-07,28.4,83,0.6
2023-09-08,30.2,72,0.0
2023-09-09,35.6,54,0.0
2023-09-10,33.4,60,0.1
2023-09-11,30.0,74,0.3
2023-09-12,31.5,68,0.0
2023-09-13,29.1,80,0.4
2023-09-14,34.1,58,0.0
2023-09-15,28.9,82,0.5
2023-09-16,30.4,70,0.1
2023-09-17,32.6,65,0.0
2023-09-18,35.3,56,0.2
2023-09-19,29.7,78,0.0
2023-10-01,15.2,85,1.2
2023-10-02,12.8,88,2.5
2023-10-03,8.9,92,5.1
2023-10-04,10.5,89,3.8
2023-10-05,5.4,95,6.3
2023-10-06,7.6,90,4.0
2023-10-07,2.1,97,7.1
2023-10-08,-0.3,99,8.2
2023-10-09,3.5,96,6.7
2023-10-10,4.8,94,5.4
2023-11-01,20.1,75,0.2
2023-11-02,18.7,80,0.5
2023-11-03,22.3,70,0.1
2023-11-04,19.4,77,0.3
2023-11-05,17.8,83,1.0
2023-11-06,21.0,72,0.0
2023-11-07,25.5,65,0.0
2023-11-08,27.3,60,0.0
2023-12-01,5.2,90,2.3
2023-12-02,2.8,95,4.1
2023-12-03,1.1,97,6.5
2023-12-04,0.5,98,7.0
2023-12-05,-1.0,99,8.3
2023-12-06,3.4,95,5.2
2023-12-07,4.1,93,4.8
2023-12-08,6.2,91,3.9
2023-12-09,7.9,89,3.5
2023-12-10,9.3,87,2.8
2024-01-01,0.2,99,10.1
2024-01-02,-0.8,100,12.4
2024-01-03,2.3,98,9.7
2024-01-04,4.5,95,7.5
2024-01-05,6.8,92,5.3
2024-01-06,9.2,88,3.1
2024-01-07,12.4,84,2.0
2024-02-01,5.7,88,4.9
2024-02-02,7.1,85,3.7
2024-02-03,10.3,80,1.2
2024-02-04,12.6,75,0.4
2024-02-05,14.9,70,0.0
2024-02-06,17.3,65,0.0
2024-02-07,19.8,60,0.0
2024-03-01,22.4,55,0.0
2024-03-02,24.7,50,0.0
2024-03-03,27.1,45,0.0
2024-03-04,29.3,40,0.0
2024-03-05,31.6,35,0.0
